id,age_yr,female
DAM3D001,6.5,0
DAM3D003,4,0
DAM3D004,6.08333333333333,0
DAM3D006,0.416666666666667,1
DAM3D007,6,0
DAM3D008,5.83333333333333,1
DAM3D009,6.5,1
DAM3D010,5.5,1
DAM3D013,6.91666666666667,1
DAM3D014,6.5,0
DAM3D015,6.5,0
DAM3D017,8,0
DAM3D018,3.91666666666667,0
DAM3D019,6.91666666666667,0
DAM3D020,6.41666666666667,0
DAM3D021,3.91666666666667,0
DAM3D022,4,1
DAM3D023,7.41666666666667,1
DAM3D025,6.91666666666667,0
DAM3D027,7.5,0
DAM3D028,6,0
DAM3D031,8.83333333333333,1
DAM3D032,7,1
DAM3D033,NA,1
DAM3D035,4.25,0
DAM3D036,7,0
DAM3D038,4.41666666666667,0
DAM3D041,5.66666666666667,0
DAM3D042,5.66666666666667,0
DAM3D044,5,0
DAM3D045,7.83333333333333,1
DAM3D046,3.83333333333333,1
DAM3D047,5.5,0
DAM3D049,5,0
DAM3D050,4.5,1
DAM3D051,5.41666666666667,0
DAM3D052,4,0
DAM3D053,12,0
DAM3D054,NA,1
DAM3D055,4.41666666666667,0
DAM3D056,NA,1
DAM3D059,6.5,0
DAM3D060,8,0
DAM3D057,3.25,1
DAM3D062,7.33333333333333,1
DAM3D063,4.16666666666667,0
DAM3D064,7,1
DAM3D065,7.41666666666667,1
DAM3D067,4.08333333333333,1
DAM3D068,7,0
DAM3D069,6.66666666666667,0
DAM3D071,4.16666666666667,0
